
 displacements (vx,vy,vz) for set NALL and time  0.5000000E-01

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  1.466001E+00  0.000000E+00  0.000000E+00
         3  0.000000E+00 -4.837625E-01  0.000000E+00
         4  1.064358E+00 -3.895205E-01  0.000000E+00
         5  0.000000E+00  0.000000E+00 -4.564197E-01
         6  1.440329E+00  0.000000E+00 -4.442750E-01
         7  0.000000E+00 -5.036753E-01 -3.688195E-01
         8  1.065245E+00 -4.351311E-01 -3.599452E-01

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.5000000E-01

         1   1  5.349041E+02 -2.089603E+01  2.278764E+01 -1.121873E+02  8.942266E-01  2.026909E+00
         1   2  5.034161E+02 -1.138634E+01  1.821413E+01 -1.441264E+02 -4.704200E-01  1.608575E+00
         1   3  4.168413E+02 -7.423851E+01 -1.332130E+01 -9.158277E+01  1.209652E+00  3.655578E-01
         1   4  3.851940E+02 -6.494281E+01 -1.833874E+01 -1.234888E+02  8.722395E-01 -1.040507E+00
         1   5  5.262627E+02 -3.040075E+01  1.736080E+01 -1.123289E+02  4.675977E+00  9.244679E+00
         1   6  4.945420E+02 -2.470119E+01  1.157214E+01 -1.433866E+02  3.243921E+00  8.661816E+00
         1   7  4.136571E+02 -8.007440E+01 -1.602654E+01 -9.352809E+01  4.822870E+00  7.643836E+00
         1   8  3.817750E+02 -7.458649E+01 -2.225989E+01 -1.245556E+02  4.418016E+00  6.073447E+00

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.5000000E-01

         1   1  2.533113E-03 -8.934297E-04 -6.219309E-04 -6.932609E-04  5.511752E-06  1.259808E-05
         1   2  2.376413E-03 -7.966038E-04 -6.124897E-04 -8.909947E-04 -2.915649E-06  9.999416E-06
         1   3  2.102479E-03 -9.286098E-04 -5.502912E-04 -5.665753E-04  7.460098E-06  2.291333E-06
         1   4  1.945850E-03 -8.318544E-04 -5.424055E-04 -7.642250E-04  5.372184E-06 -6.432718E-06
         1   5  2.513525E-03 -9.187643E-04 -6.219309E-04 -6.941620E-04  2.886065E-05  5.744972E-05
         1   6  2.362896E-03 -8.380538E-04 -6.124897E-04 -8.864850E-04  2.006124E-05  5.382781E-05
         1   7  2.099570E-03 -9.480853E-04 -5.502912E-04 -5.785625E-04  2.978741E-05  4.751882E-05
         1   8  1.949005E-03 -8.674392E-04 -5.424055E-04 -7.708088E-04  2.732765E-05  3.777200E-05

 displacements (vx,vy,vz) for set NALL and time  0.1000000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  2.915554E+00  0.000000E+00  0.000000E+00
         3  0.000000E+00 -9.651409E-01  0.000000E+00
         4  2.118713E+00 -7.787446E-01  0.000000E+00
         5  0.000000E+00  0.000000E+00 -9.089743E-01
         6  2.864855E+00  0.000000E+00 -8.849619E-01
         7  0.000000E+00 -1.004891E+00 -7.345915E-01
         8  2.120431E+00 -8.695497E-01 -7.171334E-01

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.1000000E+00

         1   1  1.070038E+03 -4.171698E+01  4.524265E+01 -2.240935E+02  1.785903E+00  4.017289E+00
         1   2  1.007240E+03 -2.291227E+01  3.610713E+01 -2.876213E+02 -9.225945E-01  3.192882E+00
         1   3  8.337982E+02 -1.475639E+02 -2.639174E+01 -1.828745E+02  2.410663E+00  7.141660E-01
         1   4  7.707380E+02 -1.292368E+02 -3.642410E+01 -2.462718E+02  1.740759E+00 -2.071251E+00
         1   5  1.052821E+03 -6.057311E+01  3.448740E+01 -2.243735E+02  9.313814E+00  1.832729E+01
         1   6  9.895509E+02 -4.933453E+01  2.293124E+01 -2.861467E+02  6.456145E+00  1.717491E+01
         1   7  8.274492E+02 -1.591613E+02 -3.177263E+01 -1.867608E+02  9.594711E+00  1.514596E+01
