
 displacements (vx,vy,vz) for set NALL and time  0.1000000E-02

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2 -4.081632E-10  0.000000E+00  0.000000E+00
         3 -1.500000E-02  0.000000E+00  0.000000E+00
         4 -1.500000E-02  0.000000E+00  0.000000E+00
         5 -3.000000E-02  0.000000E+00  0.000000E+00
         6 -3.000000E-02  0.000000E+00  0.000000E+00
         7  0.000000E+00  1.224490E-10  0.000000E+00
         8 -4.081632E-10  1.224490E-10  0.000000E+00
         9 -1.500000E-02  1.224490E-10  0.000000E+00
        10 -1.500000E-02  1.224490E-10  0.000000E+00
        11 -3.000000E-02  1.224490E-10  0.000000E+00
        12 -3.000000E-02  1.224490E-10  0.000000E+00
        13  0.000000E+00  0.000000E+00  1.714286E-10
        14 -4.081632E-10  0.000000E+00  1.714286E-10
        15 -1.500000E-02  0.000000E+00  1.714286E-10
        16 -1.500000E-02  0.000000E+00  1.714286E-10
        17 -3.000000E-02  0.000000E+00  1.714286E-10
        18 -3.000000E-02  0.000000E+00  1.714286E-10
        19  0.000000E+00  1.224490E-10  1.714286E-10
        20 -4.081632E-10  1.224490E-10  1.714286E-10
        21 -1.500000E-02  1.224490E-10  1.714286E-10
        22 -1.500000E-02  1.224490E-10  1.714286E-10
        23 -3.000000E-02  1.224490E-10  1.714286E-10
        24 -3.000000E-02  1.224490E-10  1.714286E-10

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.1000000E-02

         1   1 -1.714286E-07 -1.100153E-51  1.323489E-23 -6.626432E-24  2.548628E-25  1.529177E-24
         1   2 -1.714286E-07  5.293956E-23  1.323489E-23 -4.485584E-23  7.645883E-24 -2.676059E-24
         1   3 -1.714286E-07 -3.970467E-23 -1.323489E-23  1.172369E-23  9.175059E-24 -5.097255E-24
         1   4 -1.714286E-07  1.323489E-23 -3.970467E-23 -2.650573E-23  5.403090E-23 -1.860498E-23
         1   5 -1.714286E-07  1.323489E-23  2.646978E-23  3.568079E-24 -1.044937E-23  1.784039E-23
         1   6 -1.714286E-07 -1.668725E-52  1.373582E-51  1.529177E-24 -3.058353E-24  1.656608E-24
         1   7 -1.714286E-07  2.646978E-23  5.293956E-23  6.116706E-24 -1.223341E-23  1.121396E-23
         1   8 -1.714286E-07  1.323489E-23  1.323489E-23  6.116706E-24  2.650573E-23 -1.427231E-23
         2   1 -1.714286E-07 -2.564601E-16 -3.668668E-16 -3.631737E-16  2.235019E-17  1.106981E-17
         2   2 -1.714286E-07 -3.928247E-16 -3.006927E-16  2.867612E-16  3.131105E-16 -1.294151E-17
         2   3 -1.714286E-07  4.106451E-16  4.029488E-16 -4.208274E-16  2.452989E-16 -3.058420E-17
         2   4 -1.714286E-07  1.258480E-16  1.227802E-16 -2.744578E-17  7.426340E-17  1.834145E-17
         2   5 -1.714286E-07  2.688643E-17  3.311094E-17 -2.573840E-16  8.341205E-17  8.296708E-17
         2   6 -1.714286E-07  2.479130E-16  2.524527E-16 -3.257982E-16  2.202405E-16 -7.958132E-17
         2   7 -1.714286E-07 -2.039447E-16 -9.500977E-17 -2.129260E-16 -1.058331E-16  4.131308E-17
         2   8 -1.714286E-07 -1.313507E-16 -2.220108E-16 -2.813402E-16 -2.768686E-16 -4.829836E-17
         3   1 -1.714286E-07 -5.155138E-16 -5.202722E-16 -1.297177E-16  2.660698E-16  4.671454E-18
         3   2 -1.714286E-07 -4.697290E-16 -5.429521E-16  4.175959E-16  1.976556E-16  3.004152E-18
         3   3 -1.714286E-07 -4.922245E-16 -3.975161E-16 -1.102911E-16 -5.872882E-16 -5.219259E-17
         3   4 -1.714286E-07 -5.412446E-16 -6.414076E-16  2.659870E-16 -3.997459E-17  3.006960E-17
         3   5 -1.714286E-07 -4.349731E-16 -2.805121E-16 -4.971945E-16 -2.831491E-17  7.429815E-17
         3   6 -1.714286E-07  2.206624E-17 -1.269401E-16 -8.670929E-17 -2.831491E-17 -1.585380E-17
         3   7 -1.714286E-07 -1.181343E-15 -9.274158E-16 -3.602665E-16 -4.228440E-16  1.743411E-17
         3   8 -1.714286E-07 -8.191091E-16 -9.950554E-16 -2.234381E-16 -3.544298E-16  1.121165E-17

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.1000000E-02

         1   1 -8.163265E-13  2.448979E-13  2.448979E-13 -4.102077E-29  1.577722E-30  9.466331E-30
         1   2 -8.163265E-13  2.448979E-13  2.448979E-13 -2.776790E-28  4.733165E-29 -1.656608E-29
         1   3 -8.163265E-13  2.448979E-13  2.448979E-13  7.257520E-29  5.679799E-29 -3.155444E-29
