
 displacements (vx,vy,vz) for set NALL and time  0.5000000E-01

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2 -3.333333E+00  0.000000E+00  0.000000E+00
         3 -6.666667E+00  0.000000E+00  0.000000E+00
         4 -1.000000E+01  0.000000E+00  0.000000E+00
         5  0.000000E+00  9.956754E-01  0.000000E+00
         6 -3.333333E+00  9.956754E-01  0.000000E+00
         7 -6.666667E+00  9.956754E-01  0.000000E+00
         8 -1.000000E+01  9.956754E-01  0.000000E+00
         9  0.000000E+00  1.991351E+00  0.000000E+00
        10 -3.333333E+00  1.991351E+00  0.000000E+00
        11 -6.666667E+00  1.991351E+00  0.000000E+00
        12 -1.000000E+01  1.991351E+00  0.000000E+00
        13  0.000000E+00  2.987026E+00  0.000000E+00
        14 -3.333333E+00  2.987026E+00  0.000000E+00
        15 -6.666667E+00  2.987026E+00  0.000000E+00
        16 -1.000000E+01  2.987026E+00  0.000000E+00
        17  0.000000E+00  0.000000E+00  1.393945E+00
        18 -3.333333E+00  0.000000E+00  1.393945E+00
        19 -6.666667E+00  0.000000E+00  1.393945E+00
        20 -1.000000E+01  0.000000E+00  1.393945E+00
        21  0.000000E+00  9.956754E-01  1.393945E+00
        22 -3.333333E+00  9.956754E-01  1.393945E+00
        23 -6.666667E+00  9.956754E-01  1.393945E+00
        24 -1.000000E+01  9.956754E-01  1.393945E+00
        25  0.000000E+00  1.991351E+00  1.393945E+00
        26 -3.333333E+00  1.991351E+00  1.393945E+00
        27 -6.666667E+00  1.991351E+00  1.393945E+00
        28 -1.000000E+01  1.991351E+00  1.393945E+00
        29  0.000000E+00  2.987026E+00  1.393945E+00
        30 -3.333333E+00  2.987026E+00  1.393945E+00
        31 -6.666667E+00  2.987026E+00  1.393945E+00
        32 -1.000000E+01  2.987026E+00  1.393945E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.5000000E-01

         1   1 -1.380527E+03  4.562217E-05  4.562217E-05 -3.149802E-14  2.207844E-15 -1.061174E-33
         1   2 -1.380527E+03  4.562217E-05  4.562217E-05 -6.622342E-14  1.305953E-14 -1.987503E-14
         1   3 -1.380527E+03  4.562217E-05  4.562217E-05 -4.603224E-15  1.500278E-16 -1.766669E-14
         1   4 -1.380527E+03  4.562217E-05  4.562217E-05 -3.932862E-14  8.696353E-14 -3.975005E-14
         1   5 -1.380527E+03  4.562217E-05  4.562217E-05 -2.166587E-14 -1.070166E-14  1.766669E-14
         1   6 -1.380527E+03  4.562217E-05  4.562217E-05 -7.375397E-14  1.500278E-16 -4.637506E-14
         1   7 -1.380527E+03  4.562217E-05  4.562217E-05 -1.736270E-14 -5.148799E-14  1.766669E-14
         1   8 -1.380527E+03  4.562217E-05  4.562217E-05 -6.945080E-14  6.001112E-16 -6.625009E-14
         2   1 -1.380527E+03  4.562217E-05  4.562217E-05 -1.432048E-13  8.696353E-14 -1.325002E-14
         2   2 -1.380527E+03  4.562217E-05  4.562217E-05 -1.432048E-13  1.151779E-13 -3.312504E-15
         2   3 -1.380527E+03  4.562217E-05  4.562217E-05 -1.559642E-13  3.042223E-14 -3.533338E-14
         2   4 -1.380527E+03  4.562217E-05  4.562217E-05 -1.082168E-13  2.474560E-13 -2.208336E-14
         2   5 -1.380527E+03  4.562217E-05  4.562217E-05 -6.945080E-14  1.134577E-13 -4.416672E-14
         2   6 -1.380527E+03  4.562217E-05  4.562217E-05 -2.604405E-13  6.788057E-14  4.858340E-14
         2   7 -1.380527E+03  4.562217E-05  4.562217E-05  5.223813E-14 -1.721267E-14 -4.416672E-14
         2   8 -1.380527E+03  4.562217E-05  4.562217E-05 -2.950159E-13  1.824584E-13  1.104168E-14
         3   1 -1.380527E+03  4.562217E-05  4.562217E-05 -3.902857E-14  1.845349E-13  4.416672E-15
         3   2 -1.380527E+03  4.562217E-05  4.562217E-05  8.251033E-14 -7.590555E-14  9.937513E-15
         3   3 -1.380527E+03  4.562217E-05  4.562217E-05 -3.472540E-14  2.735000E-13 -1.766669E-14
         3   4 -1.380527E+03  4.562217E-05  4.562217E-05 -4.340675E-14  3.603135E-13  1.545835E-14
         3   5 -1.380527E+03  4.562217E-05  4.562217E-05 -2.778032E-13  1.304453E-13  2.870837E-14
         3   6 -1.380527E+03  4.562217E-05  4.562217E-05 -3.472540E-14 -1.169732E-13  1.325002E-14
         3   7 -1.380527E+03  4.562217E-05  4.562217E-05 -2.605905E-13  3.300413E-13  1.766669E-14
         3   8 -1.380527E+03  4.562217E-05  4.562217E-05 -1.751273E-14  2.085024E-13 -2.208336E-15
         4   1 -1.380527E+03  4.562217E-05  4.562217E-05  4.967397E-14  8.831378E-15 -1.766669E-14
